音楽を<聞きた>。	音楽を(聞いた)。
お茶をいれて<もらいませんか>。	お茶をいれて(もらえませんか)。
贈り物<に>あげます。	贈り物(を)あげます。
<多いの日本の生徒>は電車に乗ります。	(多くの日本の生徒)は電車に乗ります。
<多いの>日本の生徒は電車に乗ります。	(たくさんの)日本の生徒は電車に乗ります。
<その音楽のほうより好きです>。	(その音楽より好きです)。
その音楽<のほうより>好きです。	その音楽(のほうが)好きです。
昨日<食べたすぎます>。	昨日(食べすぎました)。
クイズは<いかった>です。	クイズは(よかった)です。
はさみで<切てください>。	はさみで(切ってください)。
<小さかったとき>、よく外で遊びました。	(小さいとき)、よく外で遊びました。
欠席するときは、<授業を始まるまでに連絡してください>。	欠席するときは、(授業が始まるまでに連絡してください)。
<欠席したとき>は、授業が始まるまでに連絡してください。	(欠席するとき)は、授業が始まるまでに連絡してください。
あまり食べませんが、<ピーマンが嫌いくありません>。	あまり食べませんが、(ピーマンが嫌いじゃありません)。
あまり食べませんが、<ピーマンが嫌いくありません>。	あまり食べませんが、(ピーマンは嫌いじゃありません)。
たけしさんは私の家に<来っています>。	たけしさんは私の家に(来ています)。
クラス<を>始まります。	クラス(が)始まります。
今日は<月曜日の９月１４日>です。	今日は(９月１４日の月曜日)です。
今日はとても<寒いでした>。	今日はとても(寒かったです)。
本屋に辞書を<買うのに>行きます。	本屋に辞書を(買いに)行きます。
外国へ行ったとき、家族と別れるのが<さびしかたです>。	外国へ行ったとき、家族と別れるのが(さびしかったです)。
ドアが<あいてあります>。	ドアが(あいています)。
たけしさんは<げんきで人>です。	たけしさんは(げんきな人)です。
今日は、<暑います>。	今日は、(暑いです)。
くすりを飲んで、速く<元気く>なりました。	くすりを飲んで、速く(元気に)なりました。
このかばんは母が私に<あげた>たいせつな物です。	このかばんは母が私に(くれた)たいせつな物です。
今日はあまり<いそかしいじゃないです>。	今日はあまり(いそかしくないです)。
今日はあまり<いそかしいじゃないです>。	今日はあまり(いそがしくないです)。
<夏から、アイスクリームが食べたい>。	(夏だから、アイスクリームが食べたい)。
<夏から>、アイスクリームが食べたい。	(夏ですから)、アイスクリームが食べたい。
あぶないですよ、<気をつけってください>。	あぶないですよ、(気をつけてください)。
速い車が<あまり好きです>。	速い車が(あまり好きじゃないです)。
速い車があまり<好きです>。	速い車があまり(好きじゃありません)。
これ<食べるみよう>。	これ(食べてみよう)。
今、ごはんを<食べるばかり>ですから、お腹がいっぱいです。	今、ごはんを(食べたばかり)ですから、お腹がいっぱいです。
<明日買った本は面白かったです>。	(昨日買った本は面白かったです)。
きのう、映画を<見ましょう>。	きのう、映画を(見ました)。
ジュリーさん<の>背が高い人です。	ジュリーさん(は)背が高い人です。
もっと<遅い>言ってください。	もっと(遅く)言ってください。
<いろいろ>ドレスを着てみました。	(いろいろな)ドレスを着てみました。
ゆみさんは写真を<とりませでした>。	ゆみさんは写真を(とりませんでした)。
とても便利<の>コンピューターです。	とても便利(な)コンピューターです。
アパートの<ドアを閉める忘れました>。	アパートの(ドアを閉めるのを忘れました)。
アパートのドアを<閉める忘れました>。	アパートのドアを(閉め忘れました)。
一緒に<あるいてで>行こうか。	一緒に(あるいて)行こうか。
先生、質問を<聞いてもいいですか>。	先生、質問を(してもいいですか)。
この本は<難しかったでした>。	この本は(難しかったです)。
この本は<難しかったでした>。	この本は(難しかった)。
映画を<見ませんじゃなかったです>。	映画を(見ませんでした)。
宿題をもっと<早い>出してください。	宿題をもっと(早く)出してください。
最近ちょっと<寒いとなった>。	最近ちょっと(寒くなった)。
あなたを<信じらない>。	あなたを(信じられない)。
先生に<お聞きたくていいですか>。	先生に(聞いてもいいですか)。
先生に<お聞きたくていいですか>。	先生に(お聞きしてもいいですか)。
うちわを<持ってしたいです>。	うちわを(持ちたいです)。
うちわを<持ってしたいです>。	うちわを(持ってきたいです)。
<クジラやサメや魚やいます>。	(クジラやサメや魚がいます)。
映画館で見た映画は<面白いでした>。	映画館で見た映画は(面白かったです)。
毎日5時<で>おきます。	毎日5時(に)おきます。
お父さんに<服をくれました>。	お父さんに(服をあげました)。
お父さんに服を<くれました>。	お父さんに服を(もらいました)。
その本は母が<先生からもらったものです>。	その本は母が(先生にもらったものです)。
その<本は母は先生からもらったものです>。	その(本は母が先生からもらったものです)。
はずかしくて、顔が<赤いになりました>。	はずかしくて、顔が(赤くなりました)。
ケーキを<作ってからどうぞ、食べて下さい>。	ケーキを(作ったからどうぞ、食べて下さい)。
ケーキを<作ってから>どうぞ、食べて下さい。	ケーキを(作りましたから)どうぞ、食べて下さい。
<好き学科>は、日本語です。	(好きな学科)は、日本語です。
来年<日本で行きます>。	来年(日本に行きます)。
来年日本<で>行きます。	来年日本(へ)行きます。
クラスで音楽を<ききてはいいです>。	クラスで音楽を(きいてもいいです)。
コーヒーが嫌いで，<ぜんぜん飲みます>。	コーヒーが嫌いで，(ぜんぜん飲みません)。
山田さんは<せが短い>です。	山田さんは(せが低い)です。
<駅は次のかどをまがるところにあります>。	(次のかどをまがって駅があります)。
駅は次のかどを<まがるところ>にあります。	駅は次のかどを(まがったところ)にあります。
<「おはよう」お母さんと言いました>。	(お母さんは「おはよう」と言いました)。
<「おはよう」お母さんと言いました>。	(「おはよう」とお母さんに言いました)。
<赤ちゃんが笑たです>。	(赤ちゃんが笑ったのです)。
赤ちゃんが<笑たです>。	赤ちゃんが(笑いました)。
花火まつりは本当に<綺麗と楽しいでした>。	花火まつりは本当に(綺麗で楽しかったです)。
<私のたんじょうびから>、ディズニーランドに行きました。	(私のたんじょうびに)、ディズニーランドに行きました。
私の<たんじょうびから>、ディズニーランドに行きました。	私の(たんじょうびでしたから)、ディズニーランドに行きました。
大学生だったとき、イタリアに<行きます>。	大学生だったとき、イタリアに(行きました)。
<かぞくで四人です>。	(かぞく四人です)。
かぞく<で>四人です。	かぞく(は)四人です。
私は少し<やせたいでしょう>。	私は少し(やせたいです)。
ペットが<死にて>、悲しかったです。	ペットが(死んで)、悲しかったです。
<私の部屋のほうがせまいで>、まどは小さいです。	(私の部屋のほうはせまくて)、まどは小さいです。
私の部屋のほうが<せまいで、まどは小さいです>。	私の部屋のほうが(せまくて、まども小さいです)。
昨日、<頭がいたいました>。	昨日、(頭がいたかった)。
昨日、頭が<いたいました>。	昨日、頭が(いたかったです)。
昨日はあまり<暑いくなかったです>。	昨日はあまり(暑くなかったです)。
新しい本を<買いて>、帰りました。	新しい本を(買って)、帰りました。
バスの中で食べ物を<食べてもだめです>。	バスの中で食べ物を(食べちゃだめです)。
バスの中で食べ物を<食べてもだめです>。	バスの中で食べ物を(食べてはだめです)。
あべさんは<話せるのが>下手です。	あべさんは(話すのが)下手です。
ここから富士山が<見ます>。	ここから富士山が(見えます)。
<お読みにいたしませんか>。	(お読みしませんか)。
お読みに<いたしませんか>。	お読みに(なりませんんか)。
アルバイトで<少しのお金しかもらえます>。	アルバイトで(少しのお金しかもらえまません)。
アルバイトで少しのお金しか<もらえます>。	アルバイトで少しのお金しか(もらえません)。
テニスが<上手ほしいです>。	テニスが(上手になりたいです)。
私は<優しいの人>が好きです。	私は(優しい人)が好きです。
トムさんは宿題を<するませんでした>。	トムさんは宿題を(しませんでした)。
早く<起きってください>。	早く(起きてください)。
バスに<のりてください>。	バスに(のってください)。
昨日食べ<過ぎましたです>。	昨日食べ(過ぎました)。
町は<静かくないです>。	町は(静かじゃないです)。
おなかが<痛いになりました>。	おなかが(痛くなりました)。
おとといは<雪が降りますと>寒かったです。	おとといは(雪が降って)寒かったです。
学生たちが<うるさいと話して>いた。	学生たちが(うるさく話して)いた。
テレビを<けしてましょうか>。	テレビを(けしましょうか)。
<お母さんのジョーンズさん>は先生です。	(ジョーンズさんのお母さん)は先生です。
<お母さんのジョーンズさん>は先生です。	(ジョーンズさんのお母さんは)は先生です。
先生はかっこいいシャツを<きっています>。	先生はかっこいいシャツを(きています)。
昨日は<寒いだと思いました>。	昨日は(寒かったと思います)。
父はめがねを<かけっています>。	父はめがねを(かけています)。
<テブルで>新聞があります。	(テーブルに)新聞があります。
<私と友だちを歩きました>。	(私と友だちが歩きました)。
<私と友だちを歩きました>。	(私は友だちと歩きました)。
レストランで<おいしかったご飯>を食べました。	レストランで(おいしいご飯)を食べました。
図書館は<静かじゃないでした>。	図書館は(静かじゃなかったです)。
<赤いの花>は、美しいのです。	(赤い花)は、美しいです。
<赤いな花>は、美しいのです。	(赤い花)は、美しいです。
<たばこは吸いてはいけません>。	(たばこを吸ってはいけません)。
たばこは<吸いては>いけません。	たばこは(吸っては)いけません。
テストはあまり<難しでは>ありませんでした。	テストはあまり(難しく)ありませんでした。
京都に<行きませんです>。	京都に(行きません)。
山田さんは<けっこんしません>。	山田さんは(けっこんしていません)。
嫌いなものは<どんなですか>。	嫌いなものは(なんですか)。
病院に<行きたくじゃない>。	病院に(行きたくない)。
病院に<行きたくじゃない>。	病院に(行きたくないです)。
父の声はとても<おきい>です。	父の声はとても(おおきい)です。
映画館の中で<携帯を使わなくてください>。	映画館の中で(携帯を使わないでください)。
映画館の<中に>携帯を使わないでください。	映画館の(中で)携帯を使わないでください。
車のまどから富士山が<見せます>。	車のまどから富士山が(見えます)。
<すみません。このバスは病院へ行きましょうか>。	(すみません。このバスは病院へ行きますでしょうか)。
すみません。このバスは病院へ<行きましょう>か。	すみません。このバスは病院へ(行きます)か。
家に<帰りて>、シャワーを浴びます。	家に(帰って)、シャワーを浴びます。
メールを<書って>ください。	メールを(書いて)ください。
たけしさんは英語を<はなしてが>下手です。	たけしさんは英語を(はなすのが)下手です。
<昨日はテストがあるので>、勉強しなくてはいけませんでした。	(昨日はテストがあったので)、勉強しなくてはいけませんでした。
昨日はテストが<あるので>、勉強しなくてはいけませんでした。	昨日はテストが(ありましたから)、勉強しなくてはいけませんでした。
田中さんのお父さんは<誰のですか>。	田中さんのお父さんは(誰ですか)。
あきらは<去年、アメリカに来るでしょう>。	あきらは(来年、アメリカに来るでしょう)。
あきらは去年、アメリカに<来るでしょう>。	あきらは去年、アメリカに(来ました)。
<日本にひこうきに>行きました。	(ひこうきで日本に)行きました。
<黄色いの花>は、大きいです。	(黄色い花)は、大きいです。
このアニメは<面白くじゃありません>。	このアニメは(面白くありません)。
今日はあまり<いそがしくないでした>。	今日はあまり(いそがしくなかったです)。
<日曜日は、本を読むと映画を見ます>。	(日曜日は、本を読んで、映画を見ます)。
日曜日は、本を<読むと>映画を見ます。	日曜日は、本を(読んで)映画を見ます。
<テレビがあらないから>、ばんぐみのことがあまり知りません。	(テレビがないから)、ばんぐみのことがあまり知りません。
<テレビがあらないから、ばんぐみのことがあまり知りません>。	(テレビがないから、テレビばんぐみをあまり知りません)。
先生は<変の>服を着ています。	先生は(変な)服を着ています。
<買いましたゲーム>は面白い。	(買ったゲーム)は面白い。
学校で<短いのスカート>はだめです。	学校で(短いスカート)はだめです。
<学校で短いのスカートは>だめです。	(学校では短いスカートは)だめです。
その時計は<安いじゃないです>。	その時計は(安くないです)。
教科書を<読みてください>。	教科書を(読んでください)。
暑いから、水をたくさん<飲みて>。	暑いから、水をたくさん(飲んで)。
暑いから、水をたくさん<飲みて>。	暑いから、水をたくさん(飲みます)。
日本語を<書いたり読みたりは難しいです>。	日本語を(書いたり読んだりするのは難しいです)。
日本語を書いたり<読みたりは>難しいです。	日本語を書いたり(よんだりするのは)難しいです。
学校まで10<マイルらいかかります>。	学校まで10(マイルかかります)。
学校まで10マイル<らいかかります>。	学校まで10マイル(くらいあります)。
ハンバーガーは<おいしかったでした>。	ハンバーガーは(おいしかったです)。
ハンバーガーは<おいしかったでした>。	ハンバーガーは(おいしかった
図書館は、<静かなじゃない>。	図書館は、(静かじゃない)。
趣味はテニスを<するです>。	趣味はテニスを(することです)。
冬<で>スキーをします。	冬(に)スキーをします。
<三階のデパートで>服をかいました。	(デパートの三階で)服をかいました。
<ほしいの犬は、>可愛いです。	(ほしい犬は、)可愛いです。
<ほしいの犬は、可愛いです>。	(ほしいのは、可愛い犬です)。
この教室は、<小さいでした>。	この教室は、(小さいです)。
この教室は、<小さいでした>。	この教室は、(小さかったです)。
このペンは、<あのデパートで売りますよ>。	このペンは、(あのデパートで売っていますよ)。
このペンは、あのデパートで<売りますよ>。	このペンは、あのデパートで(売ってますよ)。
しろいスカートを<はきるです>。	しろいスカートを(はきます)。
二十日に日本<が>行きます。	二十日に日本(に)行きます。
山田さんは田中さんを<知りませんと>言っています。	山田さんは田中さんを(知らないと)言っています。
<おととい買いましたです>。	(おととい買いました)。
ジョンさんは、<テニスするが下手です>。	ジョンさんは、(テニスをすることが下手です)。
ジョンさんは、テニス<するが>下手です。	ジョンさんは、テニス(するのが)下手です。
<あの人が>何を言っているのかわかるません。	(あれ人が)何を言っているのかわかりません。
あの人が何を言っているのか<わかるません>。	あの人が何を言っているのか(わかりません)。
あの人が何を言っているのか<知りません>。	あの人が何を言っているのか(わかりません)。
大きい花<が>水をあげます。	大きい花(に)水をあげます。
トムさんは宿題を<すらないです>。	トムさんは宿題を(しません)。
このクッキーを<食べってみてください>。	このクッキーを(食べてみてください)。
<つまらないのえいが>を見ました。	(つまらないえいが)を見ました。
ズボンを<着ます>。	ズボンを(はきます)。
読む人、<手をあげますください>。	読む人、(手をあげてください)。
読む人、手を<あげますください>。	読む人、手を(あげてすください)。
<危ないのところ>に行きません。	(危ないところ)に行きません。
<強いに>なります。	(強く)なります。
この花はとても<美しくて嫌いです>。	この花はとても(美しくて好きです)。
この花はとても美しくて<嫌い>です。	この花はとても美しくて(綺麗)です。
きっと<行かないかった>。	きっと(行かなかった)。
ジョンさんは昨日のパーティーに<きなかった>。	ジョンさんは昨日のパーティーに(こなかった)。
明日テストが<あるつもりです>。	明日テストが(あるはずです)。
日本語を<話ってください>。	日本語を(話してください)。
本を<読みても>いいですか。	本を(読んでも)いいですか。
まどから富士山が<見せる>。	まどから富士山が(見える)。
<毎週に学校のあと>、アートスタジオに行きます。	(毎週、学校のあとで)、アートスタジオに行きます。
<毎週に>学校のあと、アートスタジオに行きます。	(毎週)学校のあと、アートスタジオに行きます。
<ぼうしをはきます>。	(ぼうしをかぶります)。
ぼうしを<はきます>。	ぼうしを(きます)。
この時計は、私の１５歳の誕生日に父が私に<あげました>。	この時計は、私の１５歳の誕生日に父が私に(くれました)。
<携帯にメールをします>。	(携帯でメールをします)。
<携帯でメールがします>。	(携帯でメールをします)。
<来年でメキシコに行きます>。	(来年、メキシコに行きます)。
<来年で>メキシコに行きます。	(来年は)メキシコに行きます。
体は大丈夫だから、病院に<行きませんです>。	体は大丈夫だから、病院に(行きません)。
ここは<高いの>レストランです。	ここは(高い)レストランです。
この本は<難しくでした>。	この本は(難しかったです)。
ごはんは<おいしいでした>。	ごはんは(おいしかったです)。
かばん<で>たくさんアメリカのおかしがあります。	かばん(に)たくさんアメリカのおかしがあります。
先生の髪の毛は<きんぱつあります>。	先生の髪の毛は(きんぱつです)。
田中さんを<知りませんです>。	田中さんを(知りません)。
モールで買い物をしたかったですが、<家にかえなければだめでした>。	モールで買い物をしたかったですが、(家にかえらなければだめでした)。
モールで買い物をしたかったですが、家に<かえなければだめでした>。	モールで買い物をしたかったですが、家に(かえらなければいけませんでした)。
山田さんは<元気の>学生です。	山田さんは(元気な)学生です。
私の体は<たくさんいたいをありました>。	私の体は(とてもいたいです)。
<私の体はたくさんいたいをありました>。	(私は体がとてもいたかったです)。
今、赤ちゃんが<寝りますから>、静かにしてください。	今、赤ちゃんが(寝ていますから)、静かにしてください。
昨日、<すき焼きを食べ買ったです>。	昨日、(すき焼きを食べました)。
昨日、すき焼きを<食べ買ったです>。	昨日、すき焼きを(食べたかったです)。
ピザを<食べたましたか>。	ピザを(食べましたか)。
<ピザを食べたましたか>。	(ピザを食べたか)。
先生にお<聞きしたいもいいですか>。	先生にお(聞きしてもいいですか)。
中国は空気が<綺麗くない>です。	中国は空気が(綺麗じゃない)です。
<もっと速く走りて>。	(もっと速く走ります)。
もっと速く<走りて>。	もっと速く(走って)。
<コーラは飲むないです>。	(コーラは飲まないです)。
今日は、<寒いじゃない>。	今日は、(寒くない)。
コンサートにたくさんの<人があった>。	コンサートにたくさんの(人がいた)
<図書館は、静かません>。	(図書館は、静かではありません)。
図書館は、<静かません>。	図書館は、(静かじゃありません)。
<元気から>、退院されました。	(元気だから)、退院されました。
めがね<の>かけている人は田中さんです。	めがね(を)かけている人は田中さんです。
ちょっと<違うます>。	ちょっと(違います)。
テレビを<見るしませんでした>。	テレビを(見ませんでした)。
どこに<住みていますか>。	どこに(住んでいますか)。
今、宿題を<しましています>。	今、宿題を(しています)。
<リサさんは家に帰た>。	(リサさんは家に帰った)。
リサさんは家に<帰た>。	リサさんは家に(帰りました)。
高い店で、お金を全部<使いてしまいました>。	高い店で、お金を全部(使ってしまいました)。
<コンピューターを使うは便利です>。	(コンピューターを使うことは便利です)。
コンピューターを<使うは>便利です。	コンピューターを(使うのは)便利です。
バスを<降りた前に>、料金を払いました。	バスを(降りる前に)、料金を払いました。
これは鉛筆じゃ<ありませんです>。	これは鉛筆じゃ(ありません)。
たばこを<すいてもいいですか>。	たばこを(すってもいいですか)。
<便利からと思います>。	(便利だからと思います)。
<便利からと>思います。	(便利だからだと)思います。
先生、大学院に行きたいので、<すいせんじょうを書きませんか>。	先生、大学院に行きたいので、(すいせんじょうを書いてもらいませんか)。
<賑やかから>、商人がたくさんいます。	(賑やかですから)、商人がたくさんいます。
<賑やかから>、商人がたくさんいます。	(賑やかだから)、商人がたくさんいます。
先生、大学院に行きたいので、すいせんじょうを<書きませんか>。	先生、大学院に行きたいので、すいせんじょうを(書いていただけませんか)。
先生は<宿題をたくさんあげました>。	先生は(宿題をたくさんくれました)。
先生は宿題をたくさん<あげました>。	先生は宿題をたくさん(出しました)。
忙しい日に<食べて、食べなかったりです>。	忙しい日に(食べたり、食べなかったりします)。
<忙しい日に食べて>、食べなかったりです。	(忙しい日には食べたり)、食べなかったりです。
私は勉強<したいじゃありません>。	私は勉強(したくありません)。
<テレビを見ますことは>、いいです。	(テレビを見ることは)、いいです。
去年、彼はその山を<登るました>。	去年、彼はその山を(登りました)。
赤ちゃんが<笑うません>。	赤ちゃんが(笑いません)。
<雨がふるうちに>、車をあらいます。	(雨がふらないうちに)、車をあらいます。
私は<チョコレートが好きいです>。	私は(チョコレートが好きです)。
妹は、<可愛いくないです>。	妹は、(可愛くないです)。
妹は、<可愛いないです>。	妹は、(可愛くないです)。
ここで写真を<とりますいけません>。	ここで写真を(とってはいけません)。
私はねこが<あります>。	私はねこが(います)。
おなかが空いたので、<何がたべましょう>。	おなかが空いたので、(何かをたべましょう)。
<おなかが空いたので、何がたべましょう>。	(おなかが空いたので、何かたべましょう)。
<ねこはかわくなかったです>。	(ねこはかわいくなかったです)。
<ねこはかわくなかったです>。	(ねこがこわくなかったです)。
<昨日の映画はすごいでした>。	(昨日の映画はすごかったです)。
ハンバーガーは<おいしくあらない>。	ハンバーガーは(おいしくない)。
お母さんは<背が低いで太っています>。	お母さんは(背が低くて太っています)。
学生がうちに帰ったから、<キャンパスは静かくなりました>。	学生がうちに帰ったから、(キャンパスは静かになりました)。
<いくら考えると、>分かりません。	(いくら考えても、)分かりません。
土曜日のパーティーに<ぜひきってください>。	土曜日のパーティーに(ぜひきてください)。
私は<ピザが大好きので、いつも食べます>。	私は(ピザが大好きなので、いつも食べます)。
物理の<先生は変と厳しいです>。	物理の(先生は変で、厳しいです)。
<物理の先生は変と厳しいです>。	(物理の先生は変で厳しいです)。
<すしは、好きなです>。	(すしは、好きです)。
お酒を<のみてはいけません>。	お酒を(のんではいけません)。
手は<きたないで>、黒いです。	手は(きたなくて)、黒いです。
この本は<難しないそうだ>。	この本は(難しくなさそうだ)。
本田さんは<有名ひとです>。	本田さんは(有名なひとです)。
図書館は<静かくないです>。	図書館は(静かじゃないです)。
そこのお皿を<取らたい>です。	そこのお皿を(取りたい)です。
ピザを<たべますたか>。	ピザを(たべましたか)。
<映画をよく見えますか>。	(映画をよく見ますか)。
<昨日はごめんでした>。	(昨日はすみませんでした)。
<昨日はごめんでした>。	(昨日はごめんなさいでした)。
<昨日はごめんでした>。	(昨日はごめんなさい)。
<母はげんき母です>。	(母はげんきな母です)。
母は<げんき母>です。	母は(げんき)です。
大きい声で<話さないください>。	大きい声で(話さないでください)。
<大きいの声>で話さないでください。	(大きい声)で話さないでください。
今日は<暖かいと天気がいいです>。	今日は(暖かくて天気がいいです)。
今日は<暖かいと天気が>いいです。	今日は(天気が暖かいといいです)。いいです。
<毎日にご飯を食べます>。	(毎日ご飯を食べます)。
宮崎の学生<を会いました>。	宮崎の学生(に会いました)。
絶対タバコを<すいてはいけません>。	絶対タバコを(すってはいけません)。
<このふるいいのです>。	(このふるいのはいいです)。
<このふるいいのです>。	(このふるいのです)。
<たちてください>。	(たってください)。
もっとはやく<泳ぐように>なりたいです。	もっとはやく(泳げるように)なりたいです。
<ゲームしませんですか>。	(ゲームをしませんか)。
ゲーム<しませんですか>。	ゲーム(しませんか)。
私の本は<あれのです>。	私の本は(あれです)。
<運転するが上手です>。	(運転することが上手です)。
運転する<が>上手です。	運転する(のが)上手です。
昨日の夜、テレビを<見ましたでした>か。	昨日の夜、テレビを(見ました)か。
りょうの中にも<音楽が聞くます>。	りょうの中にも(音楽が聞こえます)。
りょうの中<にも音楽が聞くます>。	りょうの中(でも音楽でも音楽が聞けます)。
母は、<かわいいでした>。	母は、(かわいかったです)。
母は、<かわいです>。	母は、(かわいいです)。
私の国の人は<元気なで>、賑やかです。	私の国の人は(元気で)、賑やかです。
漢字を<見るなら>、頭がいたくなります。	漢字を(見ると)、頭がいたくなります。
英語で<話すも>いいですか。	英語で(話しても)いいですか。
まだ日本へ<行くをしません>。	まだ日本へ(行ったことがありません)。
宿題を<しると、ねむい>なります。	宿題を(すると、ねむく)なります。
<私と家族にイタリアに行きました>。	(私と家族はイタリアに行きました)。
<私と家族に>イタリアに行きました。	(私は家族で)イタリアに行きました。
私の町は<静かくない>です。	私の町は(静かじゃない)です。
<明日はテストがあるので、勉強しなくちゃいきません>。	(明日はテストがあるので、勉強しなくちゃいけません)。
田中さんを<知りない>でしょう。	田中さんを(知らない)でしょう。
アパートは<うるさいと困りました>。	アパートは(うるさいと困ります)。
<アパートはうるさいと困りました>。	(アパートはうるさくて困りました)。
私はフェアファックス<に生まれってました>。	私はフェアファックス(で生まれました)。
新しい<友だちははじめました>。	新しい(友だちは会いました)。
その本は母が<先生からあげた>ものです。	その本は母が(先生からもらった)ものです。
<その本は母が先生からあげたものです>。	(その本は母が先生にあげたものです)。
<病気になるなら>、クラスを休みます。	(病気になったら)、クラスを休みます。
電車に<乗るます>。	電車に(乗ります)。
電車に<乗りいます>。	電車に(乗ります)。
<あまり日記をかくない>。	(あまり日記をかかない)。
京都には<行くつもりだです>。	京都には(行くつもりです)。
<日本に行きたないです>。	(日本に行ったことがないです)。
日本に<行きたない>です。	日本に(行きたくない)です。
<大人くなったら>選挙に投票します。	(大人になったら)選挙に投票します。
私は<そうじゃないだと>思います。	私は(そうじゃないと)思います。
<今年のへやはくらくなかったから好きです>。	(今年のへやはくらくないから好きです)。
おばけは、<こわいじゃませんでした>。	おばけは、(こわくありませんでした)。
授業を<やすむない>ほうがいいですよ。	授業を(やすまない)ほうがいいですよ。
今日雨が<降りっています>。	今日雨が(降っています)。
<韓国に行ったつもりですが>、まだ決めていません。	(韓国に行くつもりですが)、まだ決めていません。
韓国に<行ったつもりですが>、まだ決めていません。	韓国に(行くつもりですが、)、まだ決めていません。
昨日、<頭がいたくでした>。	昨日、(頭がいたかった)。
<昨日、頭がいたくでした>。	(昨日、頭が痛かったです)。
アパートは<うるさいのと>困りました。	アパートは(うるさくて)困りました。
家の前に<可愛いのねこ>を見ました。	家の前に(可愛いねこ)を見ました。
<家の前に可愛いのねこを見ました>。	(家の前で可愛いねこを見ました)。
<作ったステーキはおいしいでした>。	(作ったステーキはおいしかったです)。
<去年結婚する友達>から、手紙がきました。	(去年結婚した友達)から、手紙がきました。
妹はいつも<元気にです>。	妹はいつも(元気です)。
毎日あさごはんを<食べてをください>。	毎日あさごはんを(食べてください)。
今日はあまり<いそがしいじゃなかったです>。	今日はあまり(いそがしくなかったです)。
コンサートが<始まりますのは>、６時です。	コンサートが(始まるのは)、６時です。
図書館でたばこを<すっていけません>。	図書館でたばこを(すってはいけません)。
あの音、<聞きます>か。	あの音、(聞こえます)か。
りょうに友だちが<いりて>楽しいです。	りょうに友だちが(いて)楽しいです。
昨日の天気は<よかったじゃありませんでした>。	昨日の天気は(よくなかったです)。
ハンバーガーは<おいしいじゃありません>。	ハンバーガーは(おいしくありません)。
<私はだけ>行きます。	(私だけ)行きます。
行く前に何か<食べるよう>か。	行く前に何か(食べよう)か。
ゆうえんちは<高いでした>。	ゆうえんちは(高かったです)。
<もっと早い来て>ください。	(もっと早く来て)ください。
もっと<早い来てください>。	もっと(早くきてください)。
<彼女に会いたいがっています>。	(彼女に会いたがっています)。
<彼女に会いたいがっています>。	(彼女に会いたいです)。
<あの人に会いたです>。	(あの人に会いたいです)。
<あの人に会いたです>。	(あの人に会った)。
<あの人に会ったです>。	(あの人に会った)。
父はあまり背が<高いじゃありません>。	父はあまり背が(高くありません)。
宿題を<出しって>ください。	宿題を(出して)ください。
このアニメは<面白そうくありません>。	このアニメは(面白そうじゃありません)。
このアニメは<面白そうくありません>。	このアニメは(面白そくありません)。
<メアリーさんはちょっと太りますね>。	(メアリーさんはちょっと太っていますね)。
メアリーさんはちょっと<太ります>ね。	メアリーさんはちょっと(太りました)ね。
昨日クイズを<とりませんです>。	昨日クイズを(とりませんでした)。
昨日クイズを<とりませんです>。	昨日クイズを(しませんでした)。
<カフェテリアのご飯はまずいでした>。	(カフェテリアのご飯はまずかったです)。
カフェテリアのご飯は<まずいでした>。	カフェテリアのご飯は(まずかった)。
日本語を<べんきょします>。	日本語を(勉強します)。
あなたは<びょうきをなれられない>。	あなたは(びょうきにならない)。
<あなたはびょうきをなれられない>。	(あなたはびょうきになれない)。
その後先生が<説明してやりました>。	その後先生が(説明してくれました)。
<それ後先生>が説明してくれました。	(その後先生)が説明してくれました。
私の犬は<小さい可愛いです>。	私の犬は(小さくて可愛いです)。
私の犬は<小さいくて可愛いです>。	私の犬は(小さくて可愛いです)。
私の犬は<小さて可愛いです>。	私の犬は(小さくて可愛いです)。
ぼうしを<かぶりて>います。	ぼうしを(かぶって)います。
このケーキを<作らなかったでした>。	このケーキを(作らなかった)。
このケーキを<作らなった>。	このケーキを(作らなかった)。
このケーキを<作るなかった>。	このケーキを(作らなかった)。
このケーキを<作りなかった>。	このケーキを(作らなかった)。
めがね<がかけています>。	めがね(をかけています)。
<めがねがかけています>。	(めがねがをけています)。
私の家はあまり<大きいじゃないです>。	私の家はあまり(大きくないです)。
<日本レストランでアルバイトをしてみると思いました>。	(日本のレストランでアルバイトをしてみようと思いました)。
日本レストランでアルバイトを<してみると思いました>。	日本レストランでアルバイトを(してみようと思いました)。
お金が<あるりませんので>、アルバイトをします。	お金が(ありませんので)、アルバイトをします。
<お金があるりませんので>、アルバイトをします。	(お金がありませんので、)、アルバイトをします。
ピザを<食べって>ください。	ピザを(食べて)ください。
おばけは、<こわいませんでした>。	おばけは、(こわくありませんでした)。
アパートのドアを<閉めて忘れました>。	アパートのドアを(閉めるのを忘れました)。
電話を<かけっても>いいですか。	電話を(かけても)いいですか。
私、車が<あらません>。	私、車が(ありません)。
私は大丈夫で、<びょうきなありません>。	私は大丈夫で、(びょうきじゃありません)。
<私は大丈夫で、びょうきなありません>。	(私は大丈夫で、びょうきがありません)。
本田さんは<ゆめいです>。	本田さんは(ゆうめいです)。
私は今宿題を<します>から、パーティーには行けません。	私は今宿題を(しています)から、パーティーには行けません。
